order_id,date_created,status,total_amount,paid_amount,item_id,item_title,quantity,unit_price,sale_fee
2000016755820782,2026-06-03 10:36:01-04:00,paid,253.79,253.79,MLB5733895618,Pastilha Freio Caravan 3.3 12v 2004 2005 2006 2007,1,253.79,30.45
2000016755613028,2026-06-03 10:25:07-04:00,paid,32.76,32.76,MLB5016396994,Junta Cabeçote Gol Parati Escort Pampa Belina 1.6 8v Cht,1,32.76,3.93
2000016755555092,2026-06-03 10:20:51-04:00,paid,151.74,151.74,MLB6656037534,Filtro De Ar Motor Toyota Hilux Sw4 3.0 16v 2005 A 2015 Mann,1,151.74,25.8
2000016755394554,2026-06-03 10:11:32-04:00,paid,174.1,174.1,MLB5438313110,Pastilha Freio Traseira Evoque 2.2 2011 2012 2013 2014 2015,1,174.1,13.93
2000016755116030,2026-06-03 09:54:19-04:00,paid,124.91,124.91,MLB4604035479,Junta Superior Cabeçote Corsa Prisma Montana Ohc 1.4 06/..,1,124.91,17.65
2000016755022558,2026-06-03 09:49:22-04:00,paid,86.34,86.34,MLB4603950569,Junta Cabeçote Sob Medida Vw Fox Gol Parati 1.0 8v 16v,1,86.34,12.01
2000016754698246,2026-06-03 09:29:00-04:00,paid,77.58,77.58,MLB5572993590,Pivo Inferior S10 Blazer - Perfect,1,77.58,9.31
2000016754496292,2026-06-03 09:15:37-04:00,paid,97.0,97.0,MLB4478302687,Junta Cabeçote Sobre Medida Gm Montana 1.8 8v Flex 2004-2020,1,97.0,8.86
2000016754326676,2026-06-03 09:04:20-04:00,paid,22.79,22.79,MLB4604053185,Junta Carter Cortiça Fiat 147 Uno Palio 1.0 1.5 8v Fiasa,1,22.79,3.87
2000016753910140,2026-06-03 08:35:06-04:00,paid,140.29,140.29,MLB4604001057,Jogo Junta Cabeçote Sup Motor Gol 95/05 1.0 8v Mi Fibra,1,140.29,23.85
2000016753813464,2026-06-03 08:30:01-04:00,paid,86.34,86.34,MLB4603950569,Junta Cabeçote Sob Medida Vw Fox Gol Parati 1.0 8v 16v,1,86.34,12.01
