order_id,date_created,item_id,sku,produto,marca,categoria,quantity,unit_price,receita,cmv_total,frete_total,imposto_total,custo_fixo_total,comissao_total,lucro_liquido_estimado,margem_liquida_estimada,parametro_confiavel,status_parametro,full,flex,link_anuncio,status_pedido,listing_type_id,shipping_status,shipping_substatus,shipping_mode,logistic_type,shipping_option_name,shipping_option_cost,shipping_option_list_cost,receiver_cost,sender_cost,sale_fee,comissao_ml,cmv_unitario_seconds,comissao_unitaria_seconds,frete_unitario_seconds,imposto_unitario_seconds,custo_fixo_unitario_seconds,lucro_liquido_unitario_seconds,margem_seconds,match_seconds,financial_source,SKU,Marca,Nome da Categoria,FULL,Flex,Status,LinkAnuncio,CMV total,CMV unitario,CMV unit�rio,CMV unitÃƒÂ¡rio,custo_frete,custo_frete_final,imposto,custo_fixo,lucro_bruto,lucro_operacional,margem_bruta,margem_operacional,Lucro Bruto,Lucro Liquido Seconds,Margem Seconds,margem calculada,cmv_seconds,frete_seconds,imposto_seconds,custo_fixo_seconds,lucro_liquido_seconds,faturamento_seconds,estoque_atual,sold_quantity,vendidos_total,match_ml,match_type,match_score,match_confidence,matched_item_seconds
2000015106636238,2026-02-11 15:34:09+00:00,MLB5735152404,OSDA1308,Pastilha Freio Optima 2.4 16v 2012 2013 2014 2015,OriginALLparts,Pastilhas de Freios,1.0,164.28,164.28,97.82,24.649999999999995,41.87,7.97,23.92,-31.949999999999985,-19.448502556610656,True,parametro_seconds_confiavel,NAO,NAO,https://produto.mercadolivre.com.br/MLB-5735152404-pastilha-freio-optima-24-16v-2012-2013-2014-2015-_JM,paid,gold_pro,delivered,,me2,xd_drop_off,Normal ao endereço,0.0,21.1,0.0,0.0,21.37,23.92,97.82,23.92,24.649999999999995,41.87,7.97,3.1300000000000003,1.570024077046549,True,ml_orders_seconds_params,OSDA1308,OriginALLparts,Pastilhas de Freios,NAO,NAO,ACTIVE,https://produto.mercadolivre.com.br/MLB-5735152404-pastilha-freio-optima-24-16v-2012-2013-2014-2015-_JM,97.82,97.82,97.82,97.82,24.649999999999995,24.649999999999995,41.87,7.97,42.540000000000006,17.89000000000001,25.894813732651574,10.889943998052113,42.540000000000006,-31.949999999999985,-19.448502556610656,-19.448502556610656,97.82,24.649999999999995,41.87,7.97,-31.949999999999985,0.0,0.0,0.0,0.0,True,EXACT,100.0,ALTA,MLB5735152404
2000015163767998,2026-02-16 02:51:10+00:00,MLB4096826175,OCDA1139,Pastilha Dianteira Cerâmica Silverado 2020 2021 2022 2023,OriginALLparts,Pastilhas de Freios,1.0,289.29,289.29,171.42,26.25,64.02000000000001,15.24,21.14,-8.779999999999978,-3.035016765183718,True,parametro_seconds_confiavel,SIM,NAO,https://produto.mercadolivre.com.br/MLB-4096826175-pastilha-dianteira-cermica-silverado-2020-2021-2022-2023-_JM,paid,gold_pro,delivered,,me2,fulfillment,Normal,0.0,24.95,0.0,0.0,43.95,21.14,171.42,21.14,26.25,64.02000000000001,15.24,6.8,2.2304588841145407,True,ml_orders_seconds_params,OCDA1139,OriginALLparts,Pastilhas de Freios,SIM,NAO,ACTIVE,https://produto.mercadolivre.com.br/MLB-4096826175-pastilha-dianteira-cermica-silverado-2020-2021-2022-2023-_JM,171.42,171.42,171.42,171.42,26.25,26.25,64.02000000000001,15.24,96.73000000000003,70.48000000000003,33.43703550070864,24.363095855370055,96.73000000000003,-8.779999999999978,-3.035016765183718,-3.035016765183718,171.42,26.25,64.02000000000001,15.24,-8.779999999999978,0.0,0.0,0.0,0.0,True,EXACT,100.0,ALTA,MLB4096826175
2000015163357996,2026-02-16 02:00:51+00:00,MLB5016434862,111039PK,Jogo Junta Motor Sem Retentor Gol  Escort Hobby Cht 1.0 8v,Bastos Juntas,Juntas de Motor,1.0,147.63,147.63,66.32,20.75,20.75,6.48,15.56,17.77,12.036848878954142,True,parametro_seconds_confiavel,SIM,NAO,https://produto.mercadolivre.com.br/MLB-5016434862-jogo-junta-motor-sem-retentor-gol-escort-hobby-cht-10-8v-_JM,paid,gold_pro,delivered,,me2,fulfillment,Prioritario,0.0,17.96,0.0,0.0,23.42,15.56,66.32,15.56,20.75,20.75,6.48,-0.18,-0.1388032078963602,True,ml_orders_seconds_params,111039PK,Bastos Juntas,Juntas de Motor,SIM,NAO,ACTIVE,https://produto.mercadolivre.com.br/MLB-5016434862-jogo-junta-motor-sem-retentor-gol-escort-hobby-cht-10-8v-_JM,66.32,66.32,66.32,66.32,20.75,20.75,20.75,6.48,65.75,45.0,44.53701822122875,30.48160942897785,65.75,17.77,12.036848878954142,12.036848878954142,66.32,20.75,20.75,6.48,17.77,0.0,0.0,0.0,0.0,True,EXACT,100.0,ALTA,MLB5016434862
2000015163367548,2026-02-16 02:01:05+00:00,MLB4331426891,PAR-BMG15009,Par Amortecedor Tampa Traseira Porta Malas Parati G2 G3 G4,Yiming Parts,Amortecedor a Gás Porta Mala,1.0,60.18,60.18,29.06,16.15,21.2,5.05,11.61,-22.889999999999997,-38.0358923230309,True,parametro_seconds_confiavel,SIM,NAO,https://produto.mercadolivre.com.br/MLB-4331426891-par-amortecedor-tampa-traseira-porta-malas-parati-g2-g3-g4-_JM,paid,gold_special,delivered,,me2,fulfillment,Prioritario,0.0,0.0,0.0,0.0,13.67,11.61,29.06,11.61,16.15,21.2,5.05,17.89,17.719889064976226,True,ml_orders_seconds_params,PAR-BMG15009,Yiming Parts,Amortecedor a Gás Porta Mala,SIM,NAO,ACTIVE,https://produto.mercadolivre.com.br/MLB-4331426891-par-amortecedor-tampa-traseira-porta-malas-parati-g2-g3-g4-_JM,29.06,29.06,29.06,29.06,16.15,16.15,21.2,5.05,19.51,3.360000000000003,32.41940844134264,5.583250249252248,19.51,-22.889999999999997,-38.0358923230309,-38.0358923230309,29.06,16.15,21.2,5.05,-22.889999999999997,0.0,0.0,0.0,0.0,True,EXACT,100.0,ALTA,MLB4331426891
2000015163055680,2026-02-16 01:27:53+00:00,MLB5780133770,78510000-6,Kit 6 Und Reparadora Ligação União De Mangueiras Tramontina Cor Cinza,Tramontina,Conectores para Mangueiras,1.0,26.16,26.16,13.68,6.65,7.03,1.67,3.85,-6.72,-25.688073394495415,True,parametro_seconds_confiavel,SIM,NAO,https://produto.mercadolivre.com.br/MLB-5780133770-kit-6-und-reparadora-ligaco-unio-de-mangueiras-tramontina-cor-cinza-_JM,paid,gold_special,delivered,,me2,fulfillment,Prioritario,0.0,0.0,0.0,0.0,9.26,3.85,13.68,3.85,6.65,7.03,1.67,0.59,1.7622461170848265,True,ml_orders_seconds_params,78510000-6,Tramontina,Conectores para Mangueiras,SIM,NAO,ACTIVE,https://produto.mercadolivre.com.br/MLB-5780133770-kit-6-und-reparadora-ligaco-unio-de-mangueiras-tramontina-cor-cinza-_JM,13.68,13.68,13.68,13.68,6.65,6.65,7.03,1.67,8.63,1.9800000000000004,32.989296636085626,7.568807339449543,8.63,-6.72,-25.688073394495415,-25.688073394495415,13.68,6.65,7.03,1.67,-6.72,0.0,0.0,0.0,0.0,True,EXACT,100.0,ALTA,MLB5780133770
2000015162570802,2026-02-16 00:41:21+00:00,MLB5079710316,1212117PK,Junta Superior Cabeçote Corsa Meriva Palio 1.8 8v  Flex P,Bastos Juntas,Juntas de Motor,1.0,117.33,117.33,55.17000000000001,18.45,15.29,4.78,11.47,12.169999999999995,10.372453762890988,True,parametro_seconds_confiavel,SIM,NAO,https://produto.mercadolivre.com.br/MLB-5079710316-junta-superior-cabecote-corsa-meriva-palio-18-8v-flex-p-_JM,paid,gold_pro,delivered,,me2,fulfillment,Prioritario,0.0,15.01,0.0,0.0,18.29,11.47,55.17000000000001,11.47,18.45,15.29,4.78,-9.6,-10.047095761381476,True,ml_orders_seconds_params,1212117PK,Bastos Juntas,Juntas de Motor,SIM,NAO,ACTIVE,https://produto.mercadolivre.com.br/MLB-5079710316-junta-superior-cabecote-corsa-meriva-palio-18-8v-flex-p-_JM,55.17000000000001,55.17000000000001,55.17000000000001,55.17000000000001,18.45,18.45,15.29,4.78,50.68999999999999,32.239999999999995,43.202931901474464,27.478053353788457,50.68999999999999,12.169999999999995,10.372453762890988,10.372453762890988,55.17000000000001,18.45,15.29,4.78,12.169999999999995,0.0,0.0,0.0,0.0,True,EXACT,100.0,ALTA,MLB5079710316
2000015162544826,2026-02-16 00:38:44+00:00,MLB4305111491,,Calha De Chuva Acrilica Fumê Pajero Tr4 2010 A 2017 4 Portas,,,1.0,224.98,224.98,0.0,0.0,0.0,0.0,27.0,197.98,87.99893323851009,False,sem_parametro_seconds,N/D,N/D,,paid,gold_special,delivered,,me2,xd_drop_off,Normal,0.0,23.45,0.0,0.0,27.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,ml_orders_seconds_params,,,,N/D,N/D,paid,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.98,197.98,87.99893323851009,87.99893323851009,197.98,197.98,87.99893323851009,87.99893323851009,0.0,0.0,0.0,0.0,197.98,0.0,0.0,0.0,0.0,True,SEM_MATCH,70.59,BAIXA,
2000015162008238,2026-02-15 23:48:58+00:00,MLB5420671488,D72A,Par Disco De Freio Traseiro Daily 35s14 45s14 2007 Em Diante,MDS,Disco de Freios,1.0,445.55,445.55,259.90000000000003,105.95,87.18,27.24,59.94,-94.66000000000003,-21.245651442037936,True,parametro_seconds_confiavel,SIM,NAO,https://produto.mercadolivre.com.br/MLB-5420671488-par-disco-de-freio-traseiro-daily-35s14-45s14-2007-em-diante-_JM,paid,gold_special,delivered,,me2,fulfillment,Normal,0.0,85.95,0.0,0.0,26.74,59.94,259.90000000000003,59.94,105.95,87.18,27.24,4.67,0.8570694464836295,True,ml_orders_seconds_params,D72A,MDS,Disco de Freios,SIM,NAO,ACTIVE,https://produto.mercadolivre.com.br/MLB-5420671488-par-disco-de-freio-traseiro-daily-35s14-45s14-2007-em-diante-_JM,259.90000000000003,259.90000000000003,259.90000000000003,259.90000000000003,105.95,105.95,87.18,27.24,125.70999999999998,19.759999999999977,28.214566266412294,4.434968017057564,125.70999999999998,-94.66000000000003,-21.245651442037936,-21.245651442037936,259.90000000000003,105.95,87.18,27.24,-94.66000000000003,0.0,0.0,0.0,0.0,True,EXACT,100.0,ALTA,MLB5420671488
2000015161718272,2026-02-15 23:22:14+00:00,MLB5977874582,PAR-BMG16007,Par Amortecedor Tampa Traseira Porta Malas Punto Todos,Yiming Parts,Amortecedor a Gás Porta Mala,1.0,53.11,53.11,29.059999999999995,7.95,10.97,2.6100000000000003,6.01,-3.489999999999994,-6.571267181321774,True,parametro_seconds_confiavel,SIM,NAO,https://produto.mercadolivre.com.br/MLB-5977874582-par-amortecedor-tampa-traseira-porta-malas-punto-todos-_JM,paid,gold_special,delivered,,me2,fulfillment,Prioritario,0.0,0.0,0.0,0.0,11.73,6.01,29.059999999999995,6.01,7.95,10.97,2.6100000000000003,-4.35,-8.325358851674642,True,ml_orders_seconds_params,PAR-BMG16007,Yiming Parts,Amortecedor a Gás Porta Mala,SIM,NAO,ACTIVE,https://produto.mercadolivre.com.br/MLB-5977874582-par-amortecedor-tampa-traseira-porta-malas-punto-todos-_JM,29.059999999999995,29.059999999999995,29.059999999999995,29.059999999999995,7.95,7.95,10.97,2.6100000000000003,18.040000000000006,10.090000000000007,33.967237808322366,18.998305403878756,18.040000000000006,-3.489999999999994,-6.571267181321774,-6.571267181321774,29.059999999999995,7.95,10.97,2.6100000000000003,-3.489999999999994,0.0,0.0,0.0,0.0,True,EXACT,100.0,ALTA,MLB5977874582
2000015161620042,2026-02-15 23:13:08+00:00,MLB5016433592,111523PK,Junta Cabeçote Fibra Motor Ap 1.6/1.8  Pampa Belina 8v,Bastos Juntas,CARGA MANUAL SP_Profit_Large,1.0,40.28,40.28,17.11,7.849999999999999,5.95,1.86,4.46,3.0500000000000025,7.571996027805368,True,parametro_seconds_confiavel,SIM,NAO,https://produto.mercadolivre.com.br/MLB-5016433592-junta-cabecote-fibra-motor-ap-1618-pampa-belina-8v-_JM,paid,gold_pro,delivered,,me2,fulfillment,Normal ao endereço,0.0,0.0,0.0,0.0,13.01,4.46,17.11,4.46,7.849999999999999,5.95,1.86,-0.06,-0.1614205004035512,True,ml_orders_seconds_params,111523PK,Bastos Juntas,CARGA MANUAL SP_Profit_Large,SIM,NAO,ACTIVE,https://produto.mercadolivre.com.br/MLB-5016433592-junta-cabecote-fibra-motor-ap-1618-pampa-belina-8v-_JM,17.11,17.11,17.11,17.11,7.849999999999999,7.849999999999999,5.95,1.86,18.71,10.860000000000003,46.4498510427011,26.96127110228402,18.71,3.0500000000000025,7.571996027805368,7.571996027805368,17.11,7.849999999999999,5.95,1.86,3.0500000000000025,0.0,0.0,0.0,0.0,True,EXACT,100.0,ALTA,MLB5016433592
