campaign_id,campaign_name,impressions,clicks,cost,cpc,ctr,revenue,orders,units,acos,roas,conversion_rate,date_from,date_to,periodo_inicio,periodo_fim,data_ref
356119342,Campanha Green Parts,13998,31,20.64,0.67,0.22,196.84,,2,10.49,9.54,6.45,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00
356637677,Campanha Multiqualita,73,0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00
353342072,Campanha OriginALLparts,30570,73,46.77,0.64,0.24,605.79,,2,7.72,12.95,2.74,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00
356393911,Campanha Triade,24047,27,59.15,2.19,0.11,591.86,,1,9.99,10.01,3.7,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00
352813615,Campanha Bastos,68617,261,60.7,0.23,0.38,1144.29,,11,5.3,18.85,4.21,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00
353749496,Campanha Igasa Carter,1637,4,1.87,0.47,0.24,0.0,,0,0.0,0.0,0.0,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00
352823015,Campanha Brucke,39188,66,23.89,0.36,0.17,0.0,,0,0.0,0.0,0.0,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00
352823053,Campanha FQ4,0,0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00
357735719,Campanha ISAPA Curva A,0,0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00
352827226,Campanha Takao,52178,79,37.59,0.48,0.15,332.53,,1,11.3,8.85,1.27,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00
356931219,Campanha Distribuidores Nacio,26,0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00
355261248,Campanha Takao Curva A,49380,137,157.8,1.15,0.28,870.94,,3,18.12,5.52,2.19,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00
357712860,Campanha Originall Curva A,0,0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00
357728122,Campanha Green Parts Curva A,0,0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00
356894911,Campanha Produtos Parados,55,0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00
357207283,Campanha Mann,0,0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00
355810176,Campanha ISAPA,19699,53,82.51,1.56,0.27,323.68,,2,25.49,3.92,3.77,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00
353128923,Campanha Eibach,5470,9,6.17,0.69,0.16,0.0,,0,0.0,0.0,0.0,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00
355704938,Campanha Ecoflex,73640,80,31.38,0.39,0.11,230.55,,1,13.61,7.35,1.25,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00
353332506,Campanha MDS FREIOS,8833,14,4.52,0.32,0.16,0.0,,0,0.0,0.0,0.0,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00
353870011,Campanha PERFECT,289,2,0.24,0.12,0.69,0.0,,0,0.0,0.0,0.0,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00
355891771,Campanha Starke,3785,9,8.95,0.99,0.24,0.0,,0,0.0,0.0,0.0,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00
357695479,Campanha Bastos Curva A,0,0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00
355311755,Campanha Yiming,9172,15,13.23,0.88,0.16,0.0,,0,0.0,0.0,0.0,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00
355395249,Campanha Indisa,11249,24,6.78,0.28,0.21,0.0,,0,0.0,0.0,0.0,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00
355714163,Campanha FW,5385,13,3.87,0.3,0.24,662.19,,1,0.58,171.11,7.69,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00,2026-05-01 00:00:00-03:00
356119342,Campanha Green Parts,14937,28,15.96,0.57,0.19,198.86,,2,8.03,12.46,7.14,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00
356637677,Campanha Multiqualita,112,2,5.77,2.89,1.79,0.0,,0,0.0,0.0,0.0,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00,2026-05-02 00:00:00-03:00
