item_id,produto_ml,marca_ml,sku_ml,receita,pedidos,candidato_seconds_id,candidato_seconds_produto,candidato_seconds_sku,candidato_seconds_marca,candidato_cmv_unitario,score_similaridade,metodo_match,status_match_inteligente,padrao_erro,motivo_original
MLB4411222171,Engate Reboque Gwm Poer 2025 2026 2100kg Removível Completo,N/D,N/D,11896.82,16,MLB5677589044,Engate Reboque Removível 7 2025 A 2026,JO1000,Brucke,424.8,100.0,produto,MATCH_AUTOMATICO,sku_ausente_ml; palavras_extras_ml,SEM_MATCH_SECONDS
MLB5148208414,Junta Superior Cabeçote Apolo Gol Logus Mi Ap 1.6 1.8,N/D,N/D,8480.47,82,MLB4604543327,Junta Superior Cabeçote Gol Saveiro Ap 1.6 1.8 85/94,111247PK,Bastos Juntas,43.3,81.08,produto,MATCH_PROVAVEL,sku_ausente_ml; palavras_extras_ml,SEM_MATCH_SECONDS
MLB4096955407,Jogo Pastilha Dianteira Freelander 2 2007 A 2015,N/D,N/D,7625.09,32,MLB4046016907,Engate Removível Freelander 2 2007 Até 2015,LR1005,Brucke,424.8,100.0,produto,MATCH_AUTOMATICO,sku_ausente_ml,SEM_MATCH_SECONDS
MLB4096861467,Pastilha Freio Dianteira Suzuki Vitara / S-cross Após 2015,N/D,N/D,5310.35,18,MLB5732202826,Pastilha Freio Vitara (ly) 1.6 2015 Em Diante,OCDA2711,OriginALLparts,166.56,68.75,produto,MATCH_DUVIDOSO,sku_ausente_ml; palavras_extras_ml,SEM_MATCH_SECONDS
MLB4445439489,Filtro Ar K&n - Mercedes C63 C 63 Amg / S / 4.0 / 2016 2017,N/D,N/D,3911.08,2,MLB4445838115,Filtro Ar K&n - Mercedes C180 C 180 Cgi 1.6 / 2012 2013 2014,E-0663,K&N,641.71,76.92,produto,MATCH_PROVAVEL,sku_ausente_ml; palavras_extras_ml,SEM_MATCH_SECONDS
MLB6171701742,Filtro Ar K&n E-0660 - Porsche Macan 2.0 / 3.0 / 3.6 / 2014+,N/D,N/D,3504.57,2,MLB4079944267,Molas Esportivas Eibach Porsche Macan 3.0 S 3.6 Turbo 2014+,E10-72-014-02-22,Eibach,2562.84,73.68,produto,MATCH_DUVIDOSO,sku_ausente_ml; palavras_extras_ml,SEM_MATCH_SECONDS
MLB4576053479,Jogo Pistao C/ Aneis Gol G5 G6 Voyage Fox 1.0 8v 2008 A 2016,N/D,N/D,3274.78,7,MLB5298290070,"Jogo Pistão 0,50 Gol Voyage Fox 1.0 8v 09/16",PVW10B/050,Takao,199.36,84.21,produto,MATCH_PROVAVEL,sku_ausente_ml; palavras_extras_ml,SEM_MATCH_SECONDS
MLB6520374496,Biela Motor Chevrolet Cruze 1.8 16v 2012 Até 2016 Ecotec,N/D,N/D,3163.68,14,MLB4463792827,Jogo Junta Superior Cabeçote Motor Cruze 1.8 16v 2012/2016,1212164PK,Bastos Juntas,144.5,73.53,produto,MATCH_DUVIDOSO,sku_ausente_ml; palavras_extras_ml,SEM_MATCH_SECONDS
MLB4449446401,"Jogo Pistao 0,50 Toro Tigershark 2.4 16v 2016 A 2020",N/D,N/D,3127.82,4,MLB4104508853,Pastilha Freio Dianteira Kicks 1.6 16v 2016 A 2024,ECO1602,Ecopads,54.71,82.35,produto,MATCH_PROVAVEL,sku_ausente_ml; palavras_extras_ml,SEM_MATCH_SECONDS
MLB5376377560,Ponteira De Engate Maciça Ranger 2024/2025 Removível 3500kg,N/D,N/D,3113.92,4,MLB5362412366,Engate Removível Ranger 2024 Modelo 24,FO2052,Brucke,424.8,94.92,produto,MATCH_AUTOMATICO,sku_ausente_ml; palavras_extras_ml,SEM_MATCH_SECONDS
